Sample	Library_ID
SRR6877304	KT01calc
SRR6877305	KT01calc
SRR6877392	KT02calc
SRR6877308	KT03calc
SRR6877303	KT04calc
SRR6877372	KT05calc
SRR6877376	KT06calc
SRR6877374	KT07calc
SRR6877378	KT08calc
SRR6877390	KT09calc
SRR6877386	KT10calc
SRR6877382	KT11calc
SRR6877354	KT12calc
SRR6877356	KT13calc
SRR6877352	KT14calc
SRR6877367	KT15calc
SRR6877365	KT16calc
SRR6877363	KT17calc
SRR6877361	KT18calc
SRR6877369	KT19calc
SRR6877338	KT20calc
SRR6877336	KT21calc
SRR6877334	KT22calc
SRR6877332	KT23calc
SRR6877330	KT24calc
SRR6877344	KT25calc
SRR6877348	KT26calc
SRR6877395	KT27calc
SRR6877397	KT28calc
SRR6877401	KT29calc
SRR6877294	KT30calc
SRR6877328	KT31calc
SRR6877296	KT32calc
SRR6877316	KT33calc
SRR6877318	KT34calc
SRR6877320	KT35calc
SRR6877322	KT36calc
