Site_number	Find_number	Library_ID	Individual_ID	PC1_order
153	435	MID030.A0101	MID030	1
342	737	MID024.A0101	MID024	2
467	1022	MID058.A0101	MID058	3
432	981	MID053.A0101	MID053	4
242	338	MID034.A0101	MID034	5
239	369	MID084.A0101	MID084	6
290	472	MID072.A0101	MID072	7
263	445	MID059.A0101	MID059	8
194	440	MID093.A0101	MID093	9
183	311	MID051.A0101	MID051	10
466	1010	MID097.A0101	MID097	11
524	1120	MID064.A0101	MID064	12
345	757	MID040.A0101	MID040	13
29	24	MID088.A0101	MID088	14
363	766	MID031.A0101	MID031	15
313	926	MID054.A0101	MID054	16
226	282	MID067.A0101	MID067	17
307	591	MID060.A0101	MID060	18
504	1109	MID091.A0101	MID091	19
538	1164	MID022.A0101	MID022	20
512	1105	MID055.A0101	MID055	21
174	408	MID032.A0101	MID032	22
473	1003	MID082.A0101	MID082	23
243	381	MID089.A0101	MID089	24
427	938	MID062.A0101	MID062	25
420	936	MID081.A0101	MID081	26
350	884	MID086.A0101	MID086	27
372	808	MID074.A0101	MID074	28
501	1097	MID057.A0101	MID057	29
430	965	MID041.A0101	MID041	30
249	394	MID050.A0101	MID050	31
275	526	MID035.A0101	MID035	32
151	666	MID070.A0101	MID070	33
464	1012	MID044.A0101	MID044	34
518	1086	MID045.A0101	MID045	35
405	882	MID066.A0101	MID066	36
311	956	MID047.A0101	MID047	37
60	37	MID085.A0101	MID085	38
347	741	MID073.A0101	MID073	39
441	932	MID039.A0101	MID039	40
497	1059	MID102.A0101	MID102	41
511	1126	MID048.A0101	MID048	42
285	452	MID068.B0101	MID068	43
47	45	MID038.A0101	MID038	44
380	821	MID037.A0101	MID037	45
371	790	MID028.A0101	MID028	46
54	51	MID083.A0101	MID083	47
270	1067	MID094.A0101	MID094	48
59	133	MID087.A0101	MID087	49
422	962	MID029.A0101	MID029	50
460	971	MID071.A0101	MID071	51
251	624	MID101.A0101	MID101	52
233	304	MID049.A0101	MID049	53
482	1048	MID077.A0101	MID077	54
399	872	MID042.A0101	MID042	55
402	907	MID043.A0101	MID043	56
101	131	MID080.A0101	MID080	57
160	613	MID027.A0101	MID027	58
383	880	MID026.A0101	MID026	59
155	196	MID079.A0101	MID079	60
502	1062	MID090.A0101	MID090	61
236	335	MID023.A0101	MID023	62
325	676	MID036.A0101	MID036	63
379	851	MID061.A0101	MID061	64
498	1071	MID046.A0101	MID046	removed for poor preservation
281	542	MID063.A0101	MID063	removed for poor preservation
100	159	MID075.A0101	MID075	removed for poor preservation
51	59	MID092.A0101	MID092	removed for poor preservation
